SEP=;
type;keyword;lemma;pos;relevance
h-0-keywords_lsa_w2v.csv;

word;retrieval;retrieval;NN;2.6429229312826608;
word;keywords;keyword;null;2.258830164067742;
word;segmentation;segmentation;null;2.125692472281753;
word;informative;informative;null;2.074584164634384;
word;title;title;null;1.8966020622831867;
word;corpus;corpus;NN;1.8910304503473416;
word;containment;containment;NN;1.865144185158499;
word;ratings;rating;null;1.8162256142574893;
word;exploratory;exploratory;JJ;1.7814032010064715;
word;visual;visual;JJ;1.7787368578786957;
word;categorizing;categorize;null;1.7319270377621145;
word;syntax;syntax;NN;1.6666403381701234;
word;linguistic;linguistic;null;1.6495911743924419;
word;ambiguous;ambiguous;JJ;1.6487065865972277;
word;snippets;snippet;NN;1.6346653261535953;
word;reciprocal;reciprocal;null;1.6096033568942856;
word;normalization;normalisation;null;1.5911817054794049;
word;vocabulary;vocabulary;NN;1.568340075318197;
word;caption;caption;null;1.5605731456009686;
word;guidelines;guideline;null;1.5590945178169617;
word;advertisers;advertiser;null;1.554274288802868;
word;manual;manual;JJ;1.5421757225258306;
word;entropy;entropy;null;1.5408524272668045;
word;qualitative;qualitative;null;1.529878745201552;
word;specificity;specificity;NN;1.5287956787104282;
word;APA;apa;NN;1.5282100110341013;
word;Impedance;impedance;NN;1.4915846773520733;
word;topical;topical;JJ;1.4776584447320689;
word;retrieve;retrieve;VB;1.4743786680447233;
word;clarification;clarification;NN;1.4738094455685078;
word;learner;learner;null;1.4320741829470485;
word;contextual;contextual;JJ;1.4225017093831553;
word;maximization;maximization;null;1.3834245408549828;
word;cued;cue;VB;1.3799061011847167;
word;positional;positional;JJ;1.3715648806053011;
word;localized;localize;JJ;1.367999772966786;
word;transcripts;transcript;NN;1.3562160515873134;
word;questionnaire;questionnaire;NN;1.344891472071635;
word;Authoritative;authoritative;JJ;1.3442464529051015;
word;inverted;invert;null;1.322939365612938;
word;biological;biological;null;1.321435486336545;
word;quotes;quote;null;1.3158807640010572;
word;sentences;sentence;NN;1.3103784689498352;
word;lexical;lexical;JJ;1.3059623465829837;
word;dramatically;dramatically;null;1.3057081158289976;
word;unrelated;unrelated;null;1.3036124847723838;
word;alignments;alignment;NN;1.2986580140308714;
word;proposition;proposition;null;1.2953726732600575;
word;phrases;phrase;null;1.2903156952340233;
word;passages;passage;NN;1.289864032279482;
word;sessions;session;NN;1.2846483951645018;
word;photo;photo;NN;1.2781864459384;
word;abbreviations;abbreviation;null;1.2704245319410825;
word;ontology;ontology;NN;1.2670205171794153;
word;discriminative;discriminative;null;1.2648864283559174;
word;readily;readily;RB;1.2611953115844232;
word;phonetic;phonetic;JJ;1.2525413828175005;
word;citation;citation;NN;1.24620968160893;
